Combined,Volume
"core drilling Melbourne","30"
"core drilling West Melbourne","0"
"core drilling Southbank","0"
"core drilling Carlton","0"
"core drilling East Melbourne","0"
"core drilling North Melbourne","0"
"core drilling Docklands","0"
"core drilling Fitzroy","0"
"core drilling South Wharf","0"
"core drilling Parkville","0"
"core drilling South Melbourne","0"
"core drilling Collingwood","0"
"core drilling Carlton North","0"
"core drilling Port Melbourne","0"
"core drilling Richmond","0"
"core drilling South Yarra","0"
"core drilling Abbotsford","0"
"core drilling Fitzroy North","0"
"core drilling Cremorne","0"
"core drilling Albert Park","0"
"core drilling Kensington","0"
"core drilling Clifton Hill","0"
"core drilling Princes Hill","0"
"core drilling Kew","0"
"core drilling Middle Park","0"
"core drilling Flemington","0"
"core drilling Travancore","0"
"core drilling Brunswick","0"
"core drilling Brunswick East","0"
"core drilling Fairfield","0"
"core drilling Prahran","0"
"core drilling Burnley","0"
"core drilling Brunswick West","0"
"core drilling Northcote","0"
"core drilling Toorak","0"
"core drilling St Kilda","0"
"core drilling Windsor","0"
"core drilling Footscray","0"
"core drilling St Kilda West","0"
"core drilling Ascot Vale","0"
"core drilling Hawthorn","0"
"core drilling Moonee Ponds","0"
"core drilling Yarraville","0"
"core drilling Spotswood","0"
"core drilling Seddon","0"
"core drilling St Kilda East","0"
"core drilling Alphington","0"
"core drilling Armadale","0"
"core drilling Maribyrnong","0"
"core drilling Thornbury","0"
"core drilling Balaclava","0"
"core drilling Coburg","0"
"core drilling Newport","0"
"core drilling Essendon","0"
"core drilling Caulfield North","0"
"core drilling Elwood","0"
"core drilling Kooyong","0"
"core drilling Kew East","0"
"core drilling Pascoe Vale South","0"
"core drilling Malvern","0"
"core drilling West Footscray","0"
"core drilling Kingsville","0"
"core drilling Williamstown","0"
"core drilling Ripponlea","0"
"core drilling Preston","0"
"core drilling Hawthorn East","0"
"core drilling Ivanhoe","0"
"core drilling Maidstone","0"
"core drilling Aberfeldie","0"
"core drilling South Kingsville","0"
"core drilling Elsternwick","0"
"core drilling Glen Iris","0"
"core drilling Strathmore","0"
"core drilling Brighton","0"
"core drilling Williamstown North","0"
"core drilling Altona North","0"
"core drilling Camberwell","0"
"core drilling Canterbury","0"
"core drilling Deepdene","0"
"core drilling Caulfield","0"
"core drilling Balwyn","0"
"core drilling Pascoe Vale","0"
"core drilling Essendon West","0"
"core drilling Coburg North","0"
"core drilling Malvern East","0"
"core drilling Ivanhoe East","0"
"core drilling Bellfield","0"
"core drilling Balwyn North","0"
"core drilling Essendon North","0"
"core drilling Tottenham","0"
"core drilling Braybrook","0"
"core drilling Brooklyn","0"
"core drilling Avondale Heights","0"
"core drilling Caulfield South","0"
"core drilling Eaglemont","0"
"core drilling Caulfield East","0"
"core drilling Heidelberg West","0"
"core drilling Niddrie","0"
"core drilling Reservoir","0"
"core drilling Altona","0"
"core drilling Gardenvale","0"
"core drilling Essendon Fields","0"
"core drilling Bulleen","0"
"core drilling Keilor East","0"
"core drilling Heidelberg Heights","0"
"core drilling Ashburton","0"
"core drilling Brighton East","0"
"core drilling Heidelberg","0"
"core drilling Fawkner","0"
"core drilling Glen Huntly","0"
"core drilling Hadfield","0"
"core drilling Oak Park","0"
"core drilling Sunshine","0"
"core drilling Carnegie","0"
"core drilling Sunshine North","0"
"core drilling Surrey Hills","0"
"core drilling Airport West","0"
"core drilling Glenroy","0"
"core drilling Rosanna","0"
"core drilling Seaholme","0"
"core drilling Ormond","0"
"core drilling Sunshine West","0"
"core drilling McKinnon","0"
"core drilling Bundoora","0"
"core drilling Strathmore Heights","0"
"core drilling Kingsbury","0"
"core drilling Laverton North","0"
"core drilling Mont Albert","0"
"core drilling Bentleigh","0"
"core drilling Murrumbeena","0"
"core drilling Burwood","0"
"core drilling Mont Albert North","0"
"core drilling Albion","0"
"core drilling Macleod","0"
"core drilling Doncaster","0"
"core drilling Viewbank","0"
"core drilling Ashwood","0"
"core drilling Keilor Park","0"
"core drilling Templestowe Lower","0"
"core drilling Gowanbrae","0"
"core drilling Bentleigh East","0"
"core drilling Hampton","0"
"core drilling Hughesdale","0"
"core drilling Tullamarine","0"
"core drilling Chadstone","0"
"core drilling Kealba","0"
"core drilling Box Hill South","0"
"core drilling Box Hill","0"
"core drilling Keilor","0"
"core drilling Yallambie","0"
"core drilling Ardeer","0"
"core drilling Box Hill North","0"
"core drilling Broadmeadows","0"
"core drilling Derrimut","0"
"core drilling Campbellfield","0"
"core drilling St Albans","0"
"core drilling Thomastown","0"
"core drilling Gladstone Park","0"
"core drilling Oakleigh","0"
"core drilling Jacana","0"
"core drilling Lower Plenty","0"
"core drilling Mount Waverley","0"
"core drilling Hampton East","0"
"core drilling Melbourne Airport","0"
"core drilling Watsonia","0"
"core drilling Moorabbin","0"
"core drilling Cairnlea","0"
"core drilling Sandringham","0"
"core drilling Dallas","0"
"core drilling Oakleigh East","0"
"core drilling Oakleigh South","0"
"core drilling Templestowe","0"
"core drilling Highett","0"
"core drilling Blackburn South","0"
"core drilling Blackburn","0"
"core drilling Burwood East","0"
"core drilling Deer Park","0"
"core drilling Westmeadows","0"
"core drilling Keilor Downs","0"
"core drilling Altona Meadows","0"
"core drilling Greensborough","0"
"core drilling Blackburn North","0"
"core drilling Huntingdale","0"
"core drilling Doncaster East","0"
"core drilling Epping","0"
"core drilling Lalor","0"
"core drilling Watsonia North","0"
"core drilling Attwood","0"
"core drilling Coolaroo","0"
"core drilling Laverton","0"
"core drilling Montmorency","0"
"core drilling Point Cook","0"
"core drilling Cheltenham","0"
"core drilling Mill Park","0"
"core drilling Black Rock","0"
"core drilling Meadow Heights","0"
"core drilling Truganina","0"
"core drilling Clayton","0"
"core drilling Eltham","0"
"core drilling Heatherton","0"
"core drilling Glen Waverley","0"
"core drilling Taylors Lakes","0"
"core drilling Clarinda","0"
"core drilling Forest Hill","0"
"core drilling Notting Hill","0"
"core drilling Briar Hill","0"
"core drilling Greenvale","0"
"core drilling Nunawading","0"
"core drilling Albanvale","0"
"core drilling Delahey","0"
"core drilling Kings Park","0"
"core drilling Donvale","0"
"core drilling Clayton South","0"
"core drilling Plenty","0"
"core drilling Keilor Lodge","0"
"core drilling Keilor North","0"
"core drilling Beaumaris","0"
"core drilling Somerton","0"
"core drilling Ravenhall","0"
"core drilling Vermont South","0"
"core drilling Seabrook","0"
"core drilling Eltham North","0"
"core drilling Williams Landing","0"
"core drilling Burnside","0"
"core drilling St Helena","0"
"core drilling Roxburgh Park","0"
"core drilling Mulgrave","0"
"core drilling Mentone","0"
"core drilling Mitcham","0"
"core drilling Burnside Heights","0"
"core drilling Vermont","0"
"core drilling Sydenham","0"
"core drilling Caroline Springs","0"
"core drilling Warrandyte","0"
"core drilling Taylors Hill","0"
"core drilling Springvale","0"
"core drilling Wheelers Hill","0"
"core drilling South Morang","0"
"core drilling Diamond Creek","0"
"core drilling Moorabbin Airport","0"
"core drilling Park Orchards","0"
"core drilling Dingley Village","0"
"core drilling Bulla","0"
"core drilling Hoppers Crossing","0"
"core drilling Parkdale","0"
"core drilling Research","0"
"core drilling Wantirna South","0"
"core drilling Craigieburn","0"
"core drilling Wantirna","0"
"core drilling Wollert","0"
"core drilling Hillside","0"
"core drilling Yarrambat","0"
"core drilling North Warrandyte","0"
"core drilling Springvale South","0"
"core drilling Ringwood","0"
"core drilling Ringwood North","0"
"core drilling Tarneit","0"
"core drilling Scoresby","0"
"core drilling Oaklands Junction","0"
"core drilling Deanside","0"
"core drilling Mordialloc","0"
"core drilling Calder Park","0"
"core drilling Fraser Rise","0"
"core drilling Braeside","0"
"core drilling Werribee South","0"
"core drilling Werribee","0"
"core drilling Heathmont","0"
"core drilling Noble Park","0"
"core drilling Noble Park North","0"
"core drilling Mernda","0"
"core drilling Wattle Glen","0"
"core drilling Warrandyte South","0"
"core drilling Kangaroo Ground","0"
"core drilling Diggers Rest","0"
"core drilling Yuroke","0"
"core drilling Ringwood East","0"
"core drilling Bonnie Brook","0"
"core drilling Aspendale","0"
"core drilling Bayswater","0"
"core drilling Warranwood","0"
"core drilling Rowville","0"
"core drilling Dandenong North","0"
"core drilling Keysborough","0"
"core drilling Mount Cottrell","0"
"core drilling Aspendale Gardens","0"
"core drilling Doreen","0"
"core drilling Mickleham","0"
"core drilling Knoxfield","0"
"core drilling Croydon","0"
"core drilling Waterways","0"
"core drilling Boronia","0"
"core drilling Wonga Park","0"
"core drilling Hurstbridge","0"
"core drilling Croydon Hills","0"
"core drilling Croydon South","0"
"core drilling Bayswater North","0"
"core drilling Wildwood","0"
"core drilling Dandenong","0"
"core drilling Ferntree Gully","0"
"core drilling Sunbury","0"
"core drilling Aintree","0"
"core drilling Rockbank","0"
"core drilling Edithvale","0"
"core drilling Croydon North","0"
"core drilling Bangholme","0"
"core drilling Endeavour Hills","0"
"core drilling Chelsea Heights","0"
"core drilling Wyndham Vale","0"
"core drilling Panton Hill","0"
"core drilling Donnybrook","0"
"core drilling Nutfield","0"
"core drilling Woodstock","0"
"core drilling Cottles Bridge","0"
"core drilling Lysterfield South","0"
"core drilling Cocoroc","0"
"core drilling Chelsea","0"
"core drilling Plumpton","0"
"core drilling Bend Of Islands","0"
"core drilling Thornhill Park","0"
"core drilling Dandenong South","0"
"core drilling Doveton","0"
"core drilling Yan Yean","0"
"core drilling Kilsyth","0"
"core drilling Lysterfield","0"
"core drilling Grangefields","0"
"core drilling Chirnside Park","0"
"core drilling Watsons Creek","0"
"core drilling The Basin","0"
"core drilling Kilsyth South","0"
"core drilling Mooroolbark","0"
"core drilling Christmas Hills","0"
"core drilling Kalkallo","0"
"core drilling Tremont","0"
"core drilling Bonbeach","0"
"core drilling Patterson Lakes","0"
"core drilling Upper Ferntree Gully","0"
"core drilling Arthurs Creek","0"
"core drilling Manor Lakes","0"
"core drilling Eumemmerring","0"
"core drilling Strathtulloh","0"
"core drilling Montrose","0"
"core drilling Melton","0"
"core drilling Carrum","0"
"core drilling Ferny Creek","0"
"core drilling Upwey","0"
"core drilling Cobblebank","0"
"core drilling Mambourin","0"
"core drilling Hallam","0"
"core drilling Lilydale","0"
"core drilling Sassafras","0"
"core drilling Narre Warren North","0"
"core drilling Clarkefield","0"
"core drilling Coldstream","0"
"core drilling Mount Dandenong","0"
"core drilling Carrum Downs","0"
"core drilling Eynesbury","0"
"core drilling Seaford","0"
"core drilling Beveridge","0"
"core drilling Smiths Gully","0"
"core drilling Toolern Vale","0"
"core drilling Eden Park","0"
"core drilling Yering","0"
"core drilling St Andrews","0"
"core drilling Hampton Park","0"
"core drilling Whittlesea","0"
"core drilling Sherbrooke","0"
"core drilling Olinda","0"
"core drilling Weir Views","0"
"core drilling Tecoma","0"
"core drilling Lyndhurst","0"
"core drilling Belgrave Heights","0"
"core drilling Kalorama","0"
"core drilling Belgrave South","0"
"core drilling Exford","0"
"core drilling Mount Evelyn","0"
"core drilling Kurunjang","0"
"core drilling Little River","0"
"core drilling Narre Warren","0"
"core drilling Belgrave","0"
"core drilling Lynbrook","0"
"core drilling Humevale","0"
"core drilling Melton South","0"
"core drilling Quandong","0"
"core drilling Narre Warren East","0"
"core drilling Sandhurst","0"
"core drilling Yarra Glen","0"
"core drilling Kallista","0"
"core drilling Selby","0"
"core drilling Skye","0"
"core drilling Narre Warren South","0"
"core drilling Brookfield","0"
"core drilling Kinglake West","0"
"core drilling Strathewen","0"
"core drilling Frankston North","0"
"core drilling Gisborne South","0"
"core drilling Melton West","0"
"core drilling Frankston","0"
"core drilling Silvan","0"
"core drilling Darraweit Guim","0"
"core drilling Harkness","0"
"core drilling Monbulk","0"
"core drilling The Patch","0"
"core drilling Berwick","0"
"core drilling Cranbourne West","0"
"core drilling Harkaway","0"
"core drilling Kinglake","0"
"core drilling Cranbourne North","0"
"core drilling Point Wilson","0"
"core drilling Wandin North","0"
"core drilling Menzies Creek","0"
"core drilling Emerald","0"
"core drilling Langwarrin","0"
"core drilling Parwan","0"
"core drilling Cranbourne","0"
"core drilling Frankston South","0"
"core drilling Mount Eliza","0"
"core drilling Beaconsfield Upper","0"
"core drilling Steels Creek","0"
"core drilling Hopetoun Park","0"
"core drilling Gruyere","0"
"core drilling Wandin East","0"
"core drilling Clematis","0"
"core drilling Cranbourne South","0"
"core drilling Upper Plenty","0"
"core drilling Wallan","0"
"core drilling Bolinda","0"
"core drilling Portarlington","0"
"core drilling Indented Head","0"
"core drilling Long Forest","0"
"core drilling Cranbourne East","0"
"core drilling Riddells Creek","0"
"core drilling Seville","0"
"core drilling Guys Hill","0"
"core drilling St Leonards","0"
"core drilling Gisborne","0"
"core drilling Botanic Ridge","0"
"core drilling Balliang East","0"
"core drilling Beaconsfield","0"
"core drilling Tarrawarra","0"
"core drilling Dixons Creek","0"
"core drilling Macclesfield","0"
"core drilling Clyde North","0"
"core drilling Merrimu","0"
"core drilling Mornington","0"
"core drilling Langwarrin South","0"
"core drilling Coimadai","0"
"core drilling Pheasant Creek","0"
"core drilling Clonbinane","0"
"core drilling Bellarine","0"
"core drilling Kinglake Central","0"
"core drilling Baxter","0"
"core drilling Bacchus Marsh","0"
"core drilling Chintin","0"
"core drilling Junction Village","0"
"core drilling Balliang","0"
"core drilling Officer","0"
"core drilling Yellingbo","0"
"core drilling Monegeetta","0"
"core drilling Pearcedale","0"
"core drilling Maddingley","0"
"core drilling Avonsleigh","0"
"core drilling Clyde","0"
"core drilling Dewhurst","0"
"core drilling Moorooduc","0"
"core drilling Devon Meadows","0"
"core drilling Seville East","0"
"core drilling Cockatoo","0"
"core drilling Avalon","0"
"core drilling Lara","0"
"core drilling Heathcote Junction","0"
"core drilling Drysdale","0"
"core drilling Somerville","0"
"core drilling Healesville","0"
"core drilling Officer South","0"
"core drilling New Gisborne","0"
"core drilling Wandong","0"
"core drilling Pakenham","0"
"core drilling Mount Martha","0"
"core drilling Darley","0"
"core drilling Woori Yallock","0"
"core drilling Castella","0"
"core drilling Bylands","0"
"core drilling Mount Burnett","0"
"core drilling Pakenham Upper","0"
"core drilling Rowsley","0"
"core drilling Nangana","0"
"core drilling Toolangi","0"
"core drilling Clifton Springs","0"
"core drilling Chum Creek","0"
"core drilling Swan Bay","0"
"core drilling Romsey","0"